"source_ip","timestamp","alert_type"
"203.0.113.77","2024-06-15 00:03:39","DDoS"
"172.31.233.236","2024-06-15 00:05:25","BENIGN"
"10.0.0.3","2024-06-15 00:13:15","BENIGN"
"10.0.0.10","2024-06-15 00:24:25","BENIGN"
"192.168.1.17","2024-06-15 00:25:06","BENIGN"
"172.31.38.35","2024-06-15 00:27:29","BENIGN"
"10.0.0.19","2024-06-15 00:33:39","BENIGN"
"10.0.0.19","2024-06-15 00:36:58","BENIGN"
"192.168.1.18","2024-06-15 00:46:45","BENIGN"
"77.88.55.101","2024-06-15 00:47:26","DDoS"
"10.0.0.9","2024-06-15 00:51:02","BENIGN"
"192.168.1.16","2024-06-15 00:53:24","BENIGN"
"10.0.0.6","2024-06-15 01:00:39","BENIGN"
"192.168.1.13","2024-06-15 01:06:54","BENIGN"
"10.0.0.18","2024-06-15 01:07:59","BENIGN"
"10.0.0.10","2024-06-15 01:12:18","BENIGN"
"45.33.32.156","2024-06-15 01:25:42","DDoS"
"172.31.4.224","2024-06-15 01:25:48","BENIGN"
"172.31.150.187","2024-06-15 01:33:54","BENIGN"
"10.0.0.22","2024-06-15 01:41:31","BENIGN"
"77.88.55.101","2024-06-15 01:43:04","DDoS"
"203.0.113.77","2024-06-15 01:46:37","DDoS"
"10.0.0.14","2024-06-15 01:50:53","BENIGN"
"192.168.1.6","2024-06-15 02:06:29","BENIGN"
"192.168.10.45","2024-06-15 02:14:00","PortScan"
"10.0.0.9","2024-06-15 02:16:04","BENIGN"
"192.168.10.45","2024-06-15 02:17:08","Brute Force"
"192.168.10.45","2024-06-15 02:18:39","Privilege Escalation"
"192.168.10.45","2024-06-15 02:19:54","Data Exfiltration"
"192.168.1.16","2024-06-15 02:28:12","BENIGN"
"192.168.1.1","2024-06-15 02:41:21","BENIGN"
"192.168.1.5","2024-06-15 02:47:32","BENIGN"
"192.168.1.7","2024-06-15 02:48:20","BENIGN"
"172.31.245.85","2024-06-15 02:54:48","BENIGN"
"77.88.55.101","2024-06-15 03:02:36","DDoS"
"10.0.0.11","2024-06-15 03:06:00","BENIGN"
"192.168.1.4","2024-06-15 03:08:58","BENIGN"
"10.0.0.7","2024-06-15 03:10:38","BENIGN"
"10.0.0.7","2024-06-15 03:11:44","BENIGN"
"192.168.1.7","2024-06-15 03:11:58","BENIGN"
"10.0.0.1","2024-06-15 03:22:06","BENIGN"
"192.168.1.9","2024-06-15 03:27:22","BENIGN"
"192.168.1.4","2024-06-15 03:37:15","BENIGN"
"192.168.1.8","2024-06-15 03:47:17","BENIGN"
"172.31.38.35","2024-06-15 03:50:17","BENIGN"
"172.31.38.35","2024-06-15 03:52:30","BENIGN"
"172.31.26.115","2024-06-15 04:01:13","BENIGN"
"45.33.32.156","2024-06-15 04:02:18","DDoS"
"192.168.1.19","2024-06-15 04:13:12","BENIGN"
"192.168.1.9","2024-06-15 04:17:33","BENIGN"
"10.0.0.3","2024-06-15 04:24:21","BENIGN"
"10.0.0.8","2024-06-15 04:29:02","BENIGN"
"192.168.1.11","2024-06-15 04:35:43","BENIGN"
"10.0.0.1","2024-06-15 04:41:42","BENIGN"
"10.0.0.11","2024-06-15 04:44:57","BENIGN"
"192.168.1.12","2024-06-15 04:56:35","BENIGN"
"198.51.100.22","2024-06-15 05:00:21","DDoS"
"192.168.1.14","2024-06-15 05:08:24","BENIGN"
"192.168.1.13","2024-06-15 05:09:38","BENIGN"
"10.0.0.10","2024-06-15 05:16:40","BENIGN"
"172.31.111.202","2024-06-15 05:18:32","BENIGN"
"192.168.1.5","2024-06-15 05:24:43","BENIGN"
"10.0.0.5","2024-06-15 05:27:25","BENIGN"
"10.0.0.6","2024-06-15 05:35:25","BENIGN"
"192.168.1.18","2024-06-15 05:38:30","BENIGN"
"45.33.32.156","2024-06-15 05:46:17","DDoS"
"192.168.1.16","2024-06-15 05:49:08","BENIGN"
"10.0.0.11","2024-06-15 05:53:39","BENIGN"
"10.0.0.6","2024-06-15 05:55:36","BENIGN"
"192.168.1.13","2024-06-15 05:56:52","BENIGN"
"192.168.1.14","2024-06-15 06:13:50","BENIGN"
"192.168.1.4","2024-06-15 06:16:52","BENIGN"
"172.31.95.37","2024-06-15 06:20:31","BENIGN"
"192.168.1.13","2024-06-15 06:52:08","BENIGN"
"172.31.4.224","2024-06-15 06:52:55","BENIGN"
"192.168.1.18","2024-06-15 07:05:00","BENIGN"
"10.0.0.1","2024-06-15 07:45:49","BENIGN"
"10.0.3.212","2024-06-15 07:51:00","PortScan"
"10.0.3.212","2024-06-15 07:52:45","Brute Force"
"10.0.3.212","2024-06-15 07:54:00","Privilege Escalation"
"10.0.3.212","2024-06-15 07:57:19","Data Exfiltration"
"10.0.0.21","2024-06-15 08:00:34","BENIGN"
"192.168.1.14","2024-06-15 08:13:36","BENIGN"
"192.168.1.3","2024-06-15 08:13:41","BENIGN"
"192.168.1.7","2024-06-15 08:18:52","BENIGN"
"192.168.1.15","2024-06-15 08:27:45","BENIGN"
"192.168.1.17","2024-06-15 08:28:27","BENIGN"
"10.0.0.9","2024-06-15 08:28:41","BENIGN"
"192.168.1.2","2024-06-15 08:53:02","BENIGN"
"172.31.95.37","2024-06-15 09:05:11","BENIGN"
"172.31.85.198","2024-06-15 09:07:54","BENIGN"
"10.0.0.19","2024-06-15 09:24:41","BENIGN"
"172.31.55.151","2024-06-15 09:32:28","BENIGN"
"10.0.0.9","2024-06-15 09:33:06","BENIGN"
"192.168.1.17","2024-06-15 09:39:58","BENIGN"
"172.31.76.231","2024-06-15 09:51:47","BENIGN"
